customer_id,contract_type,monthly_charge,payment_method,start_date,end_date,subscription_type
CUST00137,Annual,2894.46,Auto Pay,2023-08-26,,Basic Plan
CUST00138,Monthly,4534.7,Net Banking,2024-12-23,,Standard Plan
CUST00139,Monthly,2638.95,Net Banking,2023-04-20,,Standard Plan
CUST00140,Monthly,2032.72,UPI,2021-05-05,2026-08-08,Basic Plan
CUST00141,Monthly,1636.02,UPI,2021-04-16,,Standard Plan
CUST00142,Annual,4135.32,Net Banking,2025-08-01,,Basic Plan
CUST00143,Monthly,1368.32,Auto Pay,2022-08-05,,Basic Plan
CUST00144,Monthly,956.66,Auto Pay,2022-06-08,2026-03-25,Basic Plan
CUST00145,Monthly,4432.94,UPI,2023-02-05,,Standard Plan
CUST00146,Quarterly,962.67,Credit Card,2023-06-14,,Basic Plan
CUST00147,Monthly,2345.0,Debit Card,2024-07-18,,Standard Plan
CUST00148,Quarterly,3295.2,UPI,2024-10-03,,Premium Plan
CUST00149,Annual,2358.76,UPI,2025-08-17,,Standard Plan
CUST00150,Annual,4085.61,Debit Card,2025-11-19,,Basic Plan
CUST00151,Monthly,1315.91,Auto Pay,2023-06-20,,Basic Plan
CUST00152,Monthly,3145.41,Debit Card,2022-07-20,2026-04-26,Basic Plan
CUST00153,Annual,1536.17,Debit Card,2025-10-14,,Standard Plan
CUST00154,Annual,4832.15,Net Banking,2022-11-15,,Basic Plan
CUST00155,Monthly,3165.84,Net Banking,2025-04-30,,Standard Plan
CUST00156,Monthly,3368.38,Net Banking,2024-06-26,2026-03-29,Premium Plan
CUST00157,Annual,4172.75,Debit Card,2021-05-21,,Premium Plan
CUST00158,Monthly,3772.63,Net Banking,2023-10-12,,Basic Plan
CUST00159,Monthly,1760.64,Credit Card,2025-08-01,2026-07-22,Basic Plan
CUST00160,Annual,3329.21,Net Banking,2024-07-23,2026-07-02,Standard Plan
CUST00161,Monthly,4963.73,Auto Pay,2023-12-09,,Standard Plan
CUST00162,Monthly,391.95,Auto Pay,2023-12-27,2026-05-09,Standard Plan
CUST00163,Quarterly,4062.17,Credit Card,2023-01-29,,Standard Plan
CUST00164,Monthly,3217.19,Debit Card,2021-12-29,,Standard Plan
CUST00165,Monthly,2075.23,Net Banking,2022-08-21,2026-04-12,Basic Plan
CUST00166,Annual,4311.9,Net Banking,2023-03-24,2026-04-22,Premium Plan
CUST00167,Monthly,2412.45,UPI,2021-05-14,,Standard Plan
CUST00168,Monthly,4562.48,Net Banking,2022-09-14,,Standard Plan
CUST00169,Monthly,1640.48,Debit Card,2024-08-31,,Basic Plan
CUST00170,Monthly,2379.1,Credit Card,2021-07-27,,Basic Plan
CUST00171,Quarterly,2985.05,Auto Pay,2025-10-08,,Basic Plan
CUST00172,Quarterly,2255.77,UPI,2021-12-04,,Premium Plan
CUST00173,Monthly,1709.32,Debit Card,2024-04-11,,Basic Plan
CUST00174,Annual,4945.9,Net Banking,2025-04-29,,Premium Plan
CUST00175,Monthly,3815.02,Credit Card,2021-10-10,2026-08-17,Basic Plan
CUST00176,Annual,1050.58,UPI,2021-01-06,,Standard Plan
CUST00177,Monthly,4219.38,UPI,2024-03-03,2026-07-02,Basic Plan
CUST00178,Monthly,3736.28,Debit Card,2024-05-28,2026-05-04,Standard Plan
CUST00179,Annual,4932.62,Auto Pay,2021-05-25,,Basic Plan
CUST00180,Monthly,413.07,Auto Pay,2023-10-02,,Standard Plan
CUST00181,Annual,2618.13,UPI,2024-11-16,,Standard Plan
CUST00182,Monthly,3537.17,UPI,2021-02-13,,Standard Plan
CUST00183,Monthly,1397.54,Debit Card,2024-09-27,2026-02-20,Basic Plan
CUST00184,Annual,536.55,Debit Card,2022-05-19,,Basic Plan
CUST00185,Quarterly,349.39,UPI,2022-11-08,,Premium Plan
CUST00186,Quarterly,1623.54,Auto Pay,2025-07-25,,Basic Plan
CUST00187,Annual,3572.75,Credit Card,2021-09-25,,Standard Plan
CUST00188,Quarterly,4816.71,Auto Pay,2024-10-24,,Standard Plan
CUST00189,Monthly,4011.07,Credit Card,2022-08-14,2026-04-12,Basic Plan
CUST00190,Annual,2795.05,Credit Card,2024-12-23,,Basic Plan
CUST00191,Quarterly,1113.31,Credit Card,2022-05-19,,Basic Plan
CUST00192,Annual,3547.66,Debit Card,2025-07-03,,Basic Plan
CUST00193,Monthly,2257.25,Credit Card,2023-02-06,2026-02-19,Standard Plan
CUST00194,Annual,2237.38,Debit Card,2024-08-12,,Standard Plan
CUST00195,Annual,2332.1,Auto Pay,2021-04-08,,Basic Plan
CUST00196,Monthly,4912.96,Net Banking,2021-11-21,,Premium Plan
CUST00197,Monthly,4627.94,UPI,2024-11-08,,Basic Plan
CUST00198,Monthly,4922.51,Auto Pay,2021-11-16,2026-08-26,Standard Plan
CUST00199,Annual,4752.66,Net Banking,2025-07-30,,Standard Plan
CUST00200,Quarterly,1945.15,Debit Card,2025-04-02,,Basic Plan
CUST00201,Quarterly,1968.43,UPI,2021-11-02,,Basic Plan
CUST00202,Monthly,881.72,UPI,2022-06-26,,Basic Plan
CUST00203,Monthly,3226.82,Debit Card,2024-03-16,,Premium Plan
CUST00204,Monthly,811.31,Auto Pay,2021-03-01,2026-02-22,Basic Plan
CUST00205,Monthly,3204.52,Net Banking,2025-07-14,2026-07-03,Standard Plan
CUST00206,Annual,1386.54,Net Banking,2022-07-17,2026-04-29,Basic Plan
CUST00207,Quarterly,4018.54,Auto Pay,2023-05-13,2026-06-13,Basic Plan
CUST00208,Monthly,533.49,Debit Card,2024-07-19,2026-01-14,Basic Plan
CUST00209,Monthly,1194.24,Net Banking,2021-10-03,,Basic Plan
CUST00210,Annual,3386.34,Auto Pay,2021-03-25,2026-03-20,Basic Plan
CUST00211,Monthly,3813.19,Debit Card,2023-07-30,2026-05-25,Standard Plan
CUST00212,Annual,2679.45,Debit Card,2023-07-14,,Basic Plan
CUST00213,Monthly,1506.15,Net Banking,2021-06-12,,Basic Plan
CUST00214,Monthly,4616.75,Net Banking,2021-10-19,2026-07-19,Standard Plan
CUST00215,Quarterly,4135.54,UPI,2023-07-21,,Standard Plan
CUST00216,Monthly,2237.46,UPI,2022-12-12,2026-06-04,Basic Plan
CUST00217,Monthly,4415.54,Auto Pay,2025-02-14,2026-02-08,Standard Plan
CUST00218,Annual,1410.05,Credit Card,2021-11-12,,Standard Plan
CUST00219,Monthly,739.04,Credit Card,2021-02-20,,Standard Plan
CUST00220,Annual,3346.56,Credit Card,2021-02-27,2026-08-18,Standard Plan
CUST00221,Monthly,3074.32,UPI,2025-03-22,2026-02-08,Standard Plan
CUST00222,Quarterly,898.74,Debit Card,2021-04-24,,Standard Plan
CUST00223,Monthly,907.22,UPI,2022-10-11,2026-06-04,Basic Plan
CUST00224,Monthly,1330.8,Debit Card,2021-03-16,,Standard Plan
CUST00225,Quarterly,2409.96,UPI,2022-11-09,,Basic Plan
CUST00226,Monthly,4358.15,Auto Pay,2024-12-18,,Basic Plan
CUST00227,Monthly,3783.68,UPI,2023-07-28,,Basic Plan
CUST00228,Monthly,3284.43,Auto Pay,2025-04-20,,Standard Plan
CUST00229,Quarterly,4913.1,Auto Pay,2025-03-09,,Basic Plan
CUST00230,Annual,2386.17,Credit Card,2022-09-23,,Basic Plan
CUST00231,Monthly,1644.04,Debit Card,2025-09-02,,Premium Plan
CUST00232,Annual,2471.74,Debit Card,2021-02-21,,Basic Plan
CUST00233,Annual,4596.92,Credit Card,2021-02-11,,Basic Plan
CUST00234,Monthly,3333.41,Auto Pay,2025-01-29,,Basic Plan
CUST00235,Monthly,4016.08,UPI,2023-05-15,,Basic Plan
CUST00236,Annual,4077.59,Debit Card,2022-02-02,,Premium Plan
CUST00237,Annual,356.29,Net Banking,2024-01-05,,Standard Plan
CUST00238,Annual,3663.28,Auto Pay,2021-09-04,,Basic Plan
CUST00239,Quarterly,1216.56,Debit Card,2021-06-22,,Standard Plan
CUST00240,Monthly,1363.02,UPI,2021-06-07,,Premium Plan
CUST00241,Monthly,1117.74,Debit Card,2023-02-17,2026-07-05,Premium Plan
CUST00242,Monthly,2769.23,Credit Card,2021-10-05,,Standard Plan
CUST00243,Monthly,2870.41,UPI,2021-11-08,,Standard Plan
CUST00244,Monthly,1026.18,Credit Card,2022-10-08,2026-01-16,Basic Plan
CUST00245,Annual,2564.64,UPI,2025-05-17,,Basic Plan
CUST00246,Monthly,1401.95,UPI,2025-09-18,,Basic Plan
CUST00247,Monthly,4056.12,UPI,2025-05-29,,Basic Plan
CUST00248,Monthly,4742.37,Net Banking,2024-09-04,,Standard Plan
CUST00249,Monthly,4789.31,Credit Card,2024-04-02,,Basic Plan
CUST00250,Monthly,1147.93,Auto Pay,2023-06-26,2026-06-22,Standard Plan
CUST00251,Monthly,1077.82,Net Banking,2022-09-03,,Standard Plan
CUST00252,Annual,1638.47,Net Banking,2022-09-18,,Standard Plan
CUST00253,Annual,4673.08,Debit Card,2024-05-30,,Basic Plan
CUST00254,Monthly,2161.15,Auto Pay,2023-06-11,2026-07-10,Standard Plan
CUST00255,Monthly,562.02,Auto Pay,2025-04-23,,Basic Plan
CUST00256,Quarterly,3208.21,Debit Card,2023-01-16,,Basic Plan
CUST00257,Annual,493.03,Auto Pay,2024-10-15,2026-06-12,Basic Plan
CUST00258,Monthly,2158.54,Debit Card,2024-12-08,2026-01-18,Basic Plan
CUST00259,Quarterly,1733.87,Net Banking,2022-12-31,2026-06-16,Standard Plan
CUST00260,Quarterly,4315.23,Debit Card,2021-07-11,,Standard Plan
CUST00261,Quarterly,3600.03,Auto Pay,2025-12-24,2026-06-16,Basic Plan
CUST00262,Quarterly,1643.45,UPI,2024-01-08,,Standard Plan
CUST00263,Monthly,540.61,Net Banking,2021-08-09,2026-08-23,Basic Plan
CUST00264,Quarterly,1765.5,Credit Card,2023-03-12,,Basic Plan
CUST00265,Monthly,826.14,UPI,2023-02-26,2026-03-22,Basic Plan
CUST00266,Annual,602.91,UPI,2021-11-15,,Basic Plan
CUST00267,Monthly,1310.32,Debit Card,2023-04-13,,Premium Plan
CUST00268,Monthly,1609.11,Credit Card,2025-06-20,,Basic Plan
CUST00269,Monthly,1544.39,Credit Card,2021-03-05,,Standard Plan
CUST00270,Quarterly,4451.7,Credit Card,2024-09-26,,Standard Plan
CUST00271,Monthly,2745.63,Net Banking,2023-03-24,,Premium Plan
CUST00272,Monthly,1608.0,Debit Card,2023-06-17,,Standard Plan
CUST00273,Monthly,3041.8,Credit Card,2024-02-27,,Standard Plan
CUST00274,Annual,1461.22,Auto Pay,2025-10-12,,Standard Plan
CUST00275,Monthly,2873.58,Auto Pay,2024-02-08,,Standard Plan
CUST00276,Monthly,3238.65,UPI,2024-04-25,2026-06-20,Premium Plan
CUST00277,Monthly,2643.2,Net Banking,2025-03-03,,Standard Plan
CUST00278,Quarterly,3157.7,UPI,2023-10-14,,Premium Plan
CUST00279,Monthly,2948.21,Credit Card,2024-12-13,,Basic Plan
CUST00280,Monthly,3354.87,Auto Pay,2023-02-14,,Basic Plan
CUST00281,Annual,2414.59,Auto Pay,2024-02-15,,Premium Plan
CUST00282,Annual,4328.39,Credit Card,2024-04-23,,Premium Plan
CUST00283,Monthly,2073.74,Credit Card,2024-03-02,2026-01-20,Basic Plan
CUST00284,Annual,1165.71,Credit Card,2025-10-01,,Premium Plan
CUST00285,Annual,991.57,Net Banking,2023-07-17,,Standard Plan
CUST00286,Monthly,1570.8,Auto Pay,2022-12-29,,Standard Plan
CUST00287,Annual,1285.4,UPI,2021-04-09,,Standard Plan
CUST00288,Monthly,1505.41,UPI,2022-04-15,2026-01-12,Standard Plan
CUST00289,Annual,3958.49,UPI,2025-09-02,,Standard Plan
CUST00290,Monthly,1114.72,Auto Pay,2021-04-26,,Basic Plan
CUST00291,Monthly,3526.78,Debit Card,2021-10-04,2026-05-19,Basic Plan
CUST00292,Monthly,3143.52,Net Banking,2025-07-08,,Standard Plan
CUST00293,Monthly,4119.52,Auto Pay,2023-04-13,2026-03-22,Basic Plan
CUST00294,Annual,867.9,Net Banking,2022-06-11,,Standard Plan
CUST00295,Monthly,1629.93,Net Banking,2022-06-23,,Basic Plan
CUST00296,Quarterly,4036.27,Auto Pay,2021-11-28,,Standard Plan
CUST00297,Annual,1584.41,Credit Card,2024-11-29,,Standard Plan
CUST00298,Monthly,1938.0,UPI,2022-09-15,2026-07-24,Standard Plan
CUST00299,Annual,2206.94,Net Banking,2025-08-03,,Premium Plan
CUST00300,Annual,1846.97,Credit Card,2021-12-22,,Standard Plan
CUST00301,Monthly,1327.04,Debit Card,2022-11-08,2026-03-06,Standard Plan
CUST00302,Quarterly,547.43,Debit Card,2021-06-08,,Basic Plan
CUST00303,Monthly,2487.65,Credit Card,2024-05-05,,Standard Plan
CUST00304,Monthly,3964.77,Debit Card,2024-10-21,2026-07-03,Basic Plan
CUST00305,Monthly,347.8,UPI,2022-08-31,,Basic Plan
CUST00306,Monthly,3148.27,Net Banking,2024-09-30,2026-04-01,Basic Plan
CUST00307,Annual,2539.63,UPI,2021-03-16,,Standard Plan
CUST00308,Quarterly,4048.61,Credit Card,2022-12-26,,Basic Plan
CUST00309,Monthly,432.59,UPI,2023-09-13,,Basic Plan
CUST00310,Monthly,2743.01,Net Banking,2023-12-26,2026-06-05,Standard Plan
CUST00311,Quarterly,2939.75,Net Banking,2023-12-08,2026-07-24,Standard Plan
CUST00312,Quarterly,3301.59,Net Banking,2024-12-21,,Standard Plan
CUST00313,Annual,2981.54,UPI,2022-09-13,,Premium Plan
CUST00314,Monthly,4627.48,UPI,2021-10-03,2026-02-19,Premium Plan
CUST00315,Annual,2063.76,Debit Card,2021-04-25,,Premium Plan
CUST00316,Monthly,3178.29,UPI,2021-05-09,,Standard Plan
CUST00317,Monthly,1847.18,Debit Card,2023-10-29,,Basic Plan
CUST00318,Monthly,3993.13,Net Banking,2021-10-25,,Premium Plan
CUST00319,Monthly,1060.01,Auto Pay,2022-10-05,,Premium Plan
CUST00320,Monthly,4383.86,Debit Card,2023-10-06,2026-05-28,Basic Plan
CUST00321,Monthly,926.5,Debit Card,2025-09-13,,Basic Plan
CUST00322,Annual,970.74,Debit Card,2023-07-31,,Standard Plan
CUST00323,Annual,4268.06,UPI,2021-06-29,,Standard Plan
CUST00324,Monthly,2424.14,Debit Card,2022-07-19,,Basic Plan
CUST00325,Annual,3829.25,Auto Pay,2021-12-02,,Basic Plan
CUST00326,Monthly,4144.17,Auto Pay,2024-09-15,,Standard Plan
CUST00327,Monthly,4547.79,Net Banking,2021-02-09,,Standard Plan
CUST00328,Monthly,2150.64,Debit Card,2023-08-08,,Basic Plan
CUST00329,Monthly,3475.75,Auto Pay,2022-06-10,,Basic Plan
CUST00330,Annual,4063.95,Debit Card,2022-08-14,,Premium Plan
CUST00331,Quarterly,2928.68,Auto Pay,2024-03-01,,Basic Plan
CUST00332,Quarterly,599.44,Debit Card,2024-06-23,2026-05-10,Standard Plan
CUST00333,Quarterly,650.4,Credit Card,2024-05-29,,Basic Plan
CUST00334,Annual,4357.55,Credit Card,2021-11-21,2026-01-05,Basic Plan
CUST00335,Monthly,3268.14,Net Banking,2024-07-13,,Basic Plan
CUST00336,Monthly,2012.49,UPI,2022-01-04,2026-08-07,Standard Plan
CUST00337,Annual,2923.91,Net Banking,2023-07-06,,Standard Plan
CUST00338,Monthly,808.59,UPI,2025-06-23,2026-04-27,Basic Plan
CUST00339,Quarterly,4295.26,Debit Card,2023-03-03,,Standard Plan
CUST00340,Quarterly,4902.23,Net Banking,2022-05-08,,Basic Plan
CUST00341,Monthly,1850.59,Credit Card,2024-06-25,,Basic Plan
CUST00342,Monthly,2774.7,Net Banking,2022-10-23,,Basic Plan
CUST00343,Monthly,4680.57,Net Banking,2024-04-01,,Standard Plan
CUST00344,Annual,785.17,Auto Pay,2022-01-07,2026-05-30,Basic Plan
CUST00345,Monthly,1803.71,Auto Pay,2023-10-09,,Standard Plan
CUST00346,Monthly,4929.5,Debit Card,2021-11-11,2026-03-09,Basic Plan
CUST00347,Annual,4072.45,Net Banking,2021-04-03,,Basic Plan
CUST00348,Monthly,3653.72,Credit Card,2023-01-08,,Standard Plan
CUST00349,Monthly,1180.2,Auto Pay,2023-01-31,2026-05-26,Basic Plan
CUST00350,Quarterly,3300.83,Debit Card,2022-02-11,2026-07-06,Premium Plan
CUST00351,Quarterly,1785.46,Net Banking,2021-01-18,,Standard Plan
CUST00352,Quarterly,2010.28,Debit Card,2023-03-25,2026-02-07,Standard Plan
CUST00353,Monthly,993.75,Net Banking,2024-02-18,2026-08-15,Standard Plan
CUST00354,Monthly,1092.52,UPI,2021-03-16,,Standard Plan
CUST00355,Annual,3305.69,Net Banking,2023-07-14,,Standard Plan
CUST00356,Monthly,4954.43,UPI,2025-08-30,,Basic Plan
CUST00357,Annual,3160.59,UPI,2023-10-23,2026-06-15,Standard Plan
CUST00358,Quarterly,1107.39,Credit Card,2023-05-06,,Basic Plan
CUST00359,Monthly,3814.87,UPI,2021-01-06,2026-05-27,Basic Plan
CUST00360,Monthly,2453.2,UPI,2021-04-21,,Basic Plan
CUST00361,Quarterly,782.51,Credit Card,2025-08-27,,Standard Plan
CUST00362,Monthly,3047.12,Net Banking,2021-06-17,2026-06-10,Premium Plan
CUST00363,Quarterly,2336.34,Net Banking,2022-08-20,,Basic Plan
CUST00364,Monthly,4472.77,Debit Card,2021-03-14,2026-01-28,Basic Plan
