customer_id,gender,age,city,customer_segment,signup_date,contract_type,payment_method,monthly_charge,login_count,support_tickets,avg_session_minutes,monthly_usage,last_login_date,tenure_months
CUST00028,Female,49,Kolkata,Standard,2024-06-07,Monthly,Debit Card,938.18,8,2,13.8,35.8,2025-10-11,27
CUST00029,Male,56,Pune,Standard,2025-11-14,Quarterly,Credit Card,1026.87,11,2,78.2,35.1,2026-04-09,9
CUST00030,Female,51,Delhi,Standard,2025-03-21,Monthly,Debit Card,1373.48,7,3,7.9,12.3,2026-03-05,17
CUST00031,Male,56,Hyderabad,Basic,2022-10-23,Quarterly,Credit Card,1584.94,11,2,7.9,28.4,2025-03-27,46
CUST00032,Male,19,Kolkata,Basic,2025-07-13,Monthly,Debit Card,4663.92,9,2,71.1,86.1,2025-12-08,13
CUST00033,Female,40,Pune,Premium,2021-05-08,Monthly,UPI,3006.96,7,2,47.8,36.5,2025-05-11,64
CUST00034,Male,41,Delhi,Basic,2022-04-10,Quarterly,Auto Pay,3130.64,13,2,27.2,99.9,2026-04-13,53
CUST00035,Male,43,Pune,Basic,2021-09-16,Monthly,Net Banking,4838.97,15,5,24.3,72.5,2025-10-10,60
CUST00036,Male,29,Bengaluru,Standard,2022-12-31,Monthly,Debit Card,1646.01,15,1,51.0,3.0,2025-07-27,44
CUST00037,Male,20,Delhi,Standard,2022-03-19,Annual,Debit Card,3015.4,10,1,47.2,52.2,2025-04-02,54
CUST00038,Female,51,Bengaluru,Standard,2023-08-26,Annual,Debit Card,4268.13,6,0,62.1,44.3,2026-05-08,36
CUST00039,Male,49,Hyderabad,Basic,2021-08-10,Monthly,Debit Card,2488.55,11,3,41.1,16.3,2025-08-20,61
CUST00040,Female,62,Hyderabad,Standard,2023-09-26,Monthly,Net Banking,3226.87,8,2,18.8,72.3,2025-12-01,35
CUST00041,Female,33,Bengaluru,Standard,2023-12-25,Monthly,Net Banking,2822.49,15,2,26.1,79.0,2025-08-22,32
CUST00042,Female,20,Chennai,Standard,2023-02-02,Monthly,Net Banking,459.6,12,2,44.4,56.2,2026-07-29,43
CUST00043,Female,27,Hyderabad,Standard,2021-08-26,Monthly,Net Banking,1434.33,13,5,49.8,50.2,2025-06-12,61
CUST00044,Male,22,Bengaluru,Basic,2024-06-26,Monthly,Credit Card,4584.03,7,3,42.7,28.1,2025-04-08,26
CUST00045,Male,53,Bengaluru,Basic,2024-03-25,Monthly,Auto Pay,524.65,16,3,21.4,11.2,2025-02-03,29
CUST00046,Male,48,Bengaluru,Basic,2023-11-28,Annual,Credit Card,2353.69,10,4,30.7,87.8,2025-05-06,33
CUST00047,Female,66,Bengaluru,Basic,2022-11-08,Annual,Credit Card,4990.89,12,2,58.3,114.4,2026-04-16,46
CUST00048,Male,23,Mumbai,Basic,2023-03-09,Monthly,Debit Card,2331.07,9,2,11.4,1.2,2026-02-19,42
CUST00049,Female,50,Chennai,Standard,2025-10-11,Monthly,UPI,413.91,13,3,29.0,32.3,2026-02-18,10
CUST00050,Female,63,Mumbai,Basic,2022-02-21,Monthly,Debit Card,2371.89,12,2,49.0,15.8,2025-08-13,55
CUST00051,Female,63,Mumbai,Standard,2023-08-22,Monthly,Net Banking,4923.52,5,1,81.5,37.1,2026-08-26,36
CUST00052,Male,21,Hyderabad,Standard,2023-12-31,Quarterly,Credit Card,1378.57,10,4,15.4,17.7,2025-06-16,32
CUST00053,Female,48,Delhi,Basic,2024-08-07,Monthly,Debit Card,861.93,13,3,62.7,86.7,2026-05-27,25
CUST00054,Female,27,Mumbai,Basic,2025-10-14,Monthly,Credit Card,3744.72,14,1,47.3,101.2,2026-05-10,10
CUST00055,Male,47,Kolkata,Basic,2024-08-10,Monthly,UPI,810.31,22,1,39.7,87.2,2026-05-16,25
CUST00056,Female,36,Delhi,Standard,2023-02-26,Annual,Credit Card,1709.15,11,2,72.5,16.8,2025-04-24,42
CUST00057,Male,34,Pune,Basic,2022-09-02,Annual,Debit Card,733.8,10,5,58.1,25.4,2026-01-04,48
CUST00058,Female,19,Hyderabad,Basic,2021-08-16,Annual,UPI,820.46,8,0,59.0,20.1,2026-08-26,61
CUST00059,Male,36,Delhi,Basic,2024-04-13,Monthly,Debit Card,3259.38,12,3,24.6,54.2,2026-08-17,29
CUST00060,Male,68,Hyderabad,Standard,2024-11-22,Quarterly,Debit Card,4301.88,21,1,46.4,35.1,2026-01-22,21
CUST00061,Female,64,Delhi,Standard,2021-05-06,Monthly,Net Banking,4310.63,20,0,21.5,45.3,2025-05-06,64
CUST00062,Female,62,Mumbai,Basic,2022-05-10,Monthly,Debit Card,3497.29,13,7,36.4,75.6,2025-12-20,52
CUST00063,Female,41,Hyderabad,Basic,2022-09-21,Quarterly,UPI,3981.04,15,1,27.9,35.5,2025-08-30,48
CUST00064,Female,46,Bengaluru,Standard,2024-04-25,Monthly,Auto Pay,1158.02,11,0,87.9,51.6,2026-06-22,28
CUST00065,Female,46,Mumbai,Standard,2021-11-21,Monthly,Net Banking,1330.76,10,1,68.9,99.2,2025-08-15,58
CUST00066,Male,67,Kolkata,Standard,2025-04-25,Quarterly,UPI,1307.52,12,3,61.9,8.1,2025-08-01,16
CUST00067,Female,64,Delhi,Standard,2021-06-05,Monthly,Net Banking,4414.54,10,1,79.1,90.3,2025-04-18,63
CUST00068,Male,65,Chennai,Basic,2023-06-01,Monthly,Auto Pay,1967.89,6,0,89.8,99.4,2025-12-21,39
CUST00069,Female,46,Mumbai,Basic,2024-09-06,Monthly,Auto Pay,1185.34,22,2,85.0,46.2,2025-11-15,24
CUST00070,Female,40,Kolkata,Standard,2022-03-14,Monthly,Auto Pay,570.34,9,2,16.2,110.4,2026-05-28,54
CUST00071,Male,48,Chennai,Premium,2022-04-24,Monthly,UPI,4903.84,9,1,19.4,90.2,2026-07-17,53
CUST00072,Female,21,Delhi,Basic,2023-02-28,Annual,Net Banking,2329.32,15,2,54.2,56.4,2025-03-28,42
CUST00073,Female,22,Hyderabad,Premium,2021-08-29,Monthly,Debit Card,447.02,8,4,45.7,54.5,2026-07-29,60
CUST00074,Female,63,Hyderabad,Basic,2024-03-19,Monthly,Debit Card,1216.6,17,1,34.8,57.6,2025-07-03,29
CUST00075,Female,20,Delhi,Premium,2025-05-29,Quarterly,Auto Pay,1878.32,6,1,50.2,54.9,2026-01-14,15
CUST00076,Male,29,Hyderabad,Standard,2023-11-10,Quarterly,Credit Card,1215.5,9,1,13.2,38.1,2025-08-13,34
CUST00077,Female,29,Kolkata,Standard,2023-05-09,Monthly,Net Banking,3103.21,11,1,33.6,25.2,2025-04-16,40
CUST00078,Female,60,Hyderabad,Basic,2022-10-06,Quarterly,Auto Pay,1270.75,13,1,46.9,76.3,2025-02-18,47
CUST00079,Female,44,Bengaluru,Standard,2021-05-28,Annual,UPI,1578.8,8,0,50.8,45.1,2025-09-09,64
CUST00080,Male,27,Hyderabad,Standard,2023-01-31,Quarterly,Credit Card,2910.12,14,5,83.3,18.4,2025-05-27,43
CUST00081,Male,23,Bengaluru,Standard,2021-10-11,Annual,Auto Pay,4886.54,9,2,45.5,64.9,2025-12-30,59
CUST00082,Male,63,Kolkata,Basic,2024-05-18,Annual,Auto Pay,3858.97,17,3,5.1,112.1,2025-09-26,27
CUST00083,Female,30,Chennai,Basic,2024-11-19,Quarterly,Net Banking,2081.06,13,4,25.9,82.4,2025-08-09,21
CUST00084,Male,21,Bengaluru,Basic,2025-06-05,Monthly,Credit Card,1280.94,8,3,64.1,112.9,2025-08-04,15
CUST00085,Male,31,Hyderabad,Standard,2024-11-17,Quarterly,UPI,2345.3,15,1,88.4,88.2,2025-04-23,21
CUST00086,Male,58,Hyderabad,Standard,2022-10-03,Quarterly,Net Banking,1794.6,10,1,30.0,85.4,2026-03-22,47
CUST00087,Female,27,Kolkata,Premium,2024-11-19,Quarterly,UPI,4660.72,11,1,45.5,87.2,2025-06-07,21
CUST00088,Female,55,Mumbai,Standard,2021-11-13,Annual,Credit Card,1506.09,15,2,19.5,108.8,2026-03-07,58
CUST00089,Male,65,Delhi,Basic,2022-02-20,Monthly,Auto Pay,3233.08,7,2,64.9,44.4,2025-08-08,55
CUST00090,Male,67,Bengaluru,Standard,2024-04-04,Monthly,UPI,2384.62,14,5,10.0,101.1,2025-12-17,29
CUST00091,Male,30,Pune,Standard,2021-11-03,Monthly,Auto Pay,591.51,14,1,23.3,48.1,2026-05-25,58
CUST00092,Female,67,Bengaluru,Standard,2024-05-10,Annual,Credit Card,4096.63,20,3,26.6,11.6,2025-08-21,28
CUST00093,Female,29,Hyderabad,Basic,2024-04-20,Monthly,Debit Card,1347.11,11,2,23.1,107.9,2026-07-04,28
CUST00094,Male,27,Pune,Basic,2021-12-26,Monthly,Auto Pay,973.29,15,2,41.6,21.5,2025-10-27,56
CUST00095,Male,42,Pune,Standard,2021-12-02,Annual,Credit Card,475.89,8,3,21.8,17.9,2025-10-22,57
CUST00096,Male,44,Delhi,Premium,2024-09-12,Quarterly,Debit Card,2293.84,7,1,33.4,102.0,2026-08-10,23
CUST00097,Male,28,Bengaluru,Standard,2024-05-05,Monthly,UPI,4509.36,12,2,51.6,84.9,2025-07-14,28
CUST00098,Female,45,Hyderabad,Premium,2025-02-05,Monthly,Debit Card,4303.11,13,1,21.7,74.8,2026-05-25,19
CUST00099,Male,39,Pune,Basic,2022-05-04,Monthly,Net Banking,2252.42,20,2,8.5,96.4,2025-01-09,52
CUST00100,Female,52,Delhi,Basic,2022-04-02,Monthly,Credit Card,2196.0,15,2,15.9,46.9,2025-11-29,53
CUST00101,Male,61,Hyderabad,Basic,2024-07-08,Monthly,Auto Pay,4306.58,10,6,38.2,89.5,2025-05-22,26
CUST00102,Female,32,Kolkata,Basic,2024-01-07,Annual,UPI,3393.45,15,2,23.7,32.2,2026-06-22,32
CUST00103,Male,28,Pune,Premium,2021-10-02,Monthly,Debit Card,4386.64,13,4,13.3,72.9,2025-05-04,59
CUST00104,Female,44,Kolkata,Standard,2022-12-27,Annual,Credit Card,3286.34,13,4,35.0,43.5,2025-06-23,44
CUST00105,Female,52,Bengaluru,Basic,2023-03-19,Monthly,Auto Pay,3661.13,15,0,43.6,54.1,2025-11-21,42
CUST00106,Male,36,Bengaluru,Standard,2025-02-18,Annual,Auto Pay,1878.73,14,1,61.9,90.1,2026-06-08,18
CUST00107,Female,20,Chennai,Standard,2021-01-04,Annual,Credit Card,3239.72,10,3,78.1,83.1,2026-03-25,68
CUST00108,Female,42,Bengaluru,Basic,2025-06-08,Monthly,UPI,3139.67,7,1,66.9,113.2,2025-04-21,14
CUST00109,Female,49,Bengaluru,Basic,2024-12-30,Monthly,Debit Card,3228.86,12,1,66.0,30.8,2025-02-13,20
CUST00110,Female,38,Delhi,Basic,2021-12-11,Monthly,Debit Card,775.93,17,1,41.8,72.8,2025-03-23,57
CUST00111,Female,22,Bengaluru,Standard,2021-02-06,Quarterly,Net Banking,4727.54,15,2,82.9,4.3,2025-05-29,67
CUST00112,Female,66,Delhi,Standard,2025-01-08,Annual,Auto Pay,4209.36,15,0,22.2,18.8,2026-01-24,20
CUST00113,Female,58,Bengaluru,Basic,2022-06-16,Quarterly,Debit Card,1903.4,20,1,54.5,113.4,2025-05-25,51
CUST00114,Female,52,Kolkata,Standard,2025-03-17,Monthly,Debit Card,3800.6,14,2,15.6,113.2,2026-04-07,17
CUST00115,Male,45,Hyderabad,Standard,2024-01-17,Monthly,Net Banking,2038.1,11,1,36.9,37.5,2025-12-15,31
CUST00116,Female,20,Delhi,Basic,2025-09-21,Monthly,Debit Card,4471.21,16,0,9.1,87.1,2025-10-07,11
CUST00117,Male,64,Hyderabad,Basic,2023-05-14,Quarterly,Net Banking,3961.2,10,2,37.7,63.7,2026-05-28,40
CUST00118,Female,32,Chennai,Basic,2021-06-16,Annual,Debit Card,1702.6,9,4,62.4,105.0,2025-02-26,63
CUST00119,Female,20,Hyderabad,Basic,2024-12-13,Monthly,UPI,2476.74,8,1,39.3,109.8,2025-03-23,20
CUST00120,Female,45,Bengaluru,Basic,2022-02-01,Monthly,Auto Pay,2374.83,16,2,86.9,77.5,2026-04-25,55
CUST00121,Female,65,Bengaluru,Basic,2021-08-09,Annual,Debit Card,4839.88,13,1,53.2,66.3,2026-04-12,61
CUST00122,Female,50,Kolkata,Basic,2023-10-17,Monthly,Credit Card,4686.83,7,2,85.5,89.2,2025-09-16,34
CUST00123,Female,63,Hyderabad,Standard,2024-07-13,Monthly,Net Banking,4453.17,9,1,60.5,103.9,2025-04-17,25
CUST00124,Male,20,Kolkata,Standard,2021-01-30,Monthly,Auto Pay,4218.37,9,2,36.0,103.0,2025-05-02,67
CUST00125,Male,49,Pune,Standard,2023-12-24,Annual,UPI,3737.35,14,2,71.6,114.3,2025-05-31,32
CUST00126,Female,33,Delhi,Basic,2025-12-07,Monthly,UPI,635.16,16,3,7.1,7.1,2025-09-13,8
CUST00127,Female,50,Hyderabad,Standard,2025-06-23,Monthly,UPI,4710.66,15,3,70.0,69.0,2025-02-06,14
CUST00128,Female,64,Pune,Basic,2024-01-26,Monthly,UPI,1159.98,14,3,74.8,118.6,2026-08-24,31
CUST00129,Female,66,Hyderabad,Standard,2021-08-03,Annual,UPI,3198.62,14,2,88.2,89.4,2026-08-15,61
CUST00130,Male,58,Pune,Premium,2021-08-29,Annual,Credit Card,2272.31,18,3,14.1,76.9,2026-07-27,60
CUST00131,Female,26,Pune,Standard,2025-10-08,Monthly,Net Banking,2178.9,19,1,11.5,75.0,2026-04-12,10
CUST00132,Male,18,Mumbai,Standard,2022-08-12,Monthly,Net Banking,1698.01,16,1,50.8,111.0,2026-07-03,49
CUST00133,Female,59,Chennai,Basic,2022-05-28,Monthly,Debit Card,1837.21,11,1,65.5,9.6,2025-02-09,51
CUST00134,Male,31,Delhi,Basic,2021-02-08,Monthly,UPI,3448.49,11,1,46.9,68.1,2025-06-14,67
CUST00135,Female,37,Hyderabad,Basic,2021-11-16,Monthly,Net Banking,507.29,8,2,75.4,41.7,2026-01-25,58
CUST00136,Female,63,Mumbai,Basic,2021-06-25,Annual,Auto Pay,3231.13,13,2,55.3,22.0,2025-07-30,63
CUST00137,Female,42,Delhi,Basic,2023-08-26,Annual,Auto Pay,2894.46,10,2,60.8,31.4,2025-09-14,36
CUST00138,Male,55,Chennai,Standard,2024-12-23,Monthly,Net Banking,4534.7,10,1,21.4,51.9,2026-01-14,20
CUST00139,Female,31,Delhi,Standard,2023-04-20,Monthly,Net Banking,2638.95,10,4,19.9,100.2,2026-07-19,40
CUST00140,Female,69,Mumbai,Basic,2021-05-05,Monthly,UPI,2032.72,10,2,22.9,101.6,2025-05-12,64
CUST00141,Female,43,Pune,Standard,2021-04-16,Monthly,UPI,1636.02,9,2,11.6,62.2,2025-11-02,65
CUST00142,Male,23,Delhi,Basic,2025-08-01,Annual,Net Banking,4135.32,8,2,49.1,31.2,2025-07-05,13
CUST00143,Male,36,Hyderabad,Basic,2022-08-05,Monthly,Auto Pay,1368.32,12,3,23.8,110.9,2026-07-02,49
CUST00144,Female,49,Bengaluru,Basic,2022-06-08,Monthly,Auto Pay,956.66,16,3,16.7,66.8,2025-05-08,51
CUST00145,Female,34,Pune,Standard,2023-02-05,Monthly,UPI,4432.94,9,2,62.0,1.4,2026-06-05,43
CUST00146,Female,56,Mumbai,Basic,2023-06-14,Quarterly,Credit Card,962.67,13,1,84.2,77.7,2026-03-02,39
CUST00147,Male,53,Pune,Standard,2024-07-18,Monthly,Debit Card,2345.0,12,0,12.2,2.5,2026-05-28,25
CUST00148,Male,37,Hyderabad,Premium,2024-10-03,Quarterly,UPI,3295.2,13,3,9.1,109.6,2025-10-06,23
CUST00149,Female,21,Delhi,Standard,2025-08-17,Annual,UPI,2358.76,16,3,26.5,116.9,2025-08-10,12
CUST00150,Male,19,Chennai,Basic,2025-11-19,Annual,Debit Card,4085.61,18,2,12.7,27.4,2025-03-31,9
CUST00151,Female,43,Chennai,Basic,2023-06-20,Monthly,Auto Pay,1315.91,9,3,25.9,115.9,2025-12-14,38
CUST00152,Male,60,Kolkata,Basic,2022-07-20,Monthly,Debit Card,3145.41,25,2,74.6,86.8,2026-07-19,50
CUST00153,Female,26,Pune,Standard,2025-10-14,Annual,Debit Card,1536.17,17,3,71.4,24.2,2025-04-22,10
CUST00154,Male,52,Hyderabad,Basic,2022-11-15,Annual,Net Banking,4832.15,13,0,63.4,41.4,2026-07-06,46
CUST00155,Male,25,Mumbai,Standard,2025-04-30,Monthly,Net Banking,3165.84,13,1,62.0,106.9,2026-01-14,16
CUST00156,Female,32,Kolkata,Premium,2024-06-26,Monthly,Net Banking,3368.38,15,4,31.5,115.9,2026-01-21,26
CUST00157,Male,43,Bengaluru,Premium,2021-05-21,Annual,Debit Card,4172.75,24,2,73.7,50.1,2025-11-08,64
CUST00158,Male,61,Hyderabad,Basic,2023-10-12,Monthly,Net Banking,3772.63,9,4,53.5,2.8,2026-01-29,35
CUST00159,Male,25,Pune,Basic,2025-08-01,Monthly,Credit Card,1760.64,15,2,59.4,63.5,2025-07-09,13
CUST00160,Male,26,Chennai,Standard,2024-07-23,Annual,Net Banking,3329.21,9,1,85.8,76.7,2026-01-07,25
CUST00161,Female,61,Kolkata,Standard,2023-12-09,Monthly,Auto Pay,4963.73,9,0,30.5,36.7,2025-01-10,33
CUST00162,Female,45,Hyderabad,Standard,2023-12-27,Monthly,Auto Pay,391.95,10,1,53.5,42.5,2026-01-19,32
CUST00163,Male,57,Chennai,Standard,2023-01-29,Quarterly,Credit Card,4062.17,15,0,43.5,62.3,2026-03-17,43
CUST00164,Male,34,Chennai,Standard,2021-12-29,Monthly,Debit Card,3217.19,9,0,35.3,37.8,2025-06-29,56
CUST00165,Female,45,Chennai,Basic,2022-08-21,Monthly,Net Banking,2075.23,13,0,41.7,103.7,2025-09-25,49
CUST00166,Female,59,Mumbai,Premium,2023-03-24,Annual,Net Banking,4311.9,15,1,45.7,78.7,2026-02-13,41
CUST00167,Female,46,Delhi,Standard,2021-05-14,Monthly,UPI,2412.45,18,3,88.1,42.3,2026-04-11,64
CUST00168,Male,48,Delhi,Standard,2022-09-14,Monthly,Net Banking,4562.48,9,3,48.4,42.7,2025-12-13,48
CUST00169,Female,27,Delhi,Basic,2024-08-31,Monthly,Debit Card,1640.48,9,1,40.4,87.5,2026-04-12,24
CUST00170,Male,27,Bengaluru,Basic,2021-07-27,Monthly,Credit Card,2379.1,9,2,41.0,61.5,2025-12-02,62
CUST00171,Male,25,Chennai,Basic,2025-10-08,Quarterly,Auto Pay,2985.05,21,3,7.3,73.5,2025-09-06,10
CUST00172,Female,65,Mumbai,Premium,2021-12-04,Quarterly,UPI,2255.77,15,3,10.7,52.6,2025-03-14,57
CUST00173,Male,33,Hyderabad,Basic,2024-04-11,Monthly,Debit Card,1709.32,15,3,76.9,42.3,2025-07-22,29
CUST00174,Male,67,Pune,Premium,2025-04-29,Annual,Net Banking,4945.9,7,1,86.2,21.2,2025-09-26,16
CUST00175,Male,50,Bengaluru,Basic,2021-10-10,Monthly,Credit Card,3815.02,14,3,53.3,6.7,2026-01-03,59
CUST00176,Female,39,Pune,Standard,2021-01-06,Annual,UPI,1050.58,13,2,87.1,48.6,2025-03-04,68
CUST00177,Female,39,Mumbai,Basic,2024-03-03,Monthly,UPI,4219.38,13,3,68.2,31.3,2026-06-18,30
CUST00178,Male,25,Mumbai,Standard,2024-05-28,Monthly,Debit Card,3736.28,15,1,45.4,19.5,2026-08-03,27
CUST00179,Male,23,Chennai,Basic,2021-05-25,Annual,Auto Pay,4932.62,8,0,89.5,46.0,2026-08-04,64
CUST00180,Male,27,Mumbai,Standard,2023-10-02,Monthly,Auto Pay,413.07,9,0,62.2,99.5,2025-08-21,35
CUST00181,Male,45,Pune,Standard,2024-11-16,Annual,UPI,2618.13,13,2,45.4,82.6,2025-05-26,21
CUST00182,Female,63,Kolkata,Standard,2021-02-13,Monthly,UPI,3537.17,8,0,64.7,110.8,2025-10-11,67
CUST00183,Female,27,Hyderabad,Basic,2024-09-27,Monthly,Debit Card,1397.54,11,2,23.0,2.5,2026-03-14,23
CUST00184,Male,44,Delhi,Basic,2022-05-19,Annual,Debit Card,536.55,8,0,13.3,59.7,2026-04-11,52
CUST00185,Female,29,Mumbai,Premium,2022-11-08,Quarterly,UPI,349.39,12,0,37.0,28.7,2025-09-08,46
CUST00186,Male,48,Chennai,Basic,2025-07-25,Quarterly,Auto Pay,1623.54,7,3,39.3,99.7,2025-03-29,13
CUST00187,Female,50,Pune,Standard,2021-09-25,Annual,Credit Card,3572.75,17,2,45.4,7.5,2026-06-12,60
CUST00188,Male,28,Pune,Standard,2024-10-24,Quarterly,Auto Pay,4816.71,4,0,48.7,57.7,2025-12-06,22
CUST00189,Male,57,Hyderabad,Basic,2022-08-14,Monthly,Credit Card,4011.07,11,2,87.9,96.7,2026-03-03,49
CUST00190,Male,63,Chennai,Basic,2024-12-23,Annual,Credit Card,2795.05,9,2,32.4,104.6,2025-03-31,20
CUST00191,Male,36,Mumbai,Basic,2022-05-19,Quarterly,Credit Card,1113.31,7,2,75.2,83.9,2025-08-09,52
CUST00192,Male,46,Kolkata,Basic,2025-07-03,Annual,Debit Card,3547.66,12,3,88.7,56.4,2026-04-26,14
CUST00193,Female,29,Kolkata,Standard,2023-02-06,Monthly,Credit Card,2257.25,15,0,26.1,63.4,2026-01-12,43
CUST00194,Male,20,Kolkata,Standard,2024-08-12,Annual,Debit Card,2237.38,22,2,57.6,31.2,2026-07-13,24
CUST00195,Male,29,Pune,Basic,2021-04-08,Annual,Auto Pay,2332.1,13,1,12.7,55.4,2025-03-28,65
CUST00196,Male,60,Kolkata,Premium,2021-11-21,Monthly,Net Banking,4912.96,7,3,32.6,87.9,2026-04-30,58
CUST00197,Female,26,Pune,Basic,2024-11-08,Monthly,UPI,4627.94,14,3,56.3,104.7,2025-07-29,22
CUST00198,Male,22,Delhi,Standard,2021-11-16,Monthly,Auto Pay,4922.51,13,0,52.3,111.2,2025-11-06,58
CUST00199,Male,24,Hyderabad,Standard,2025-07-30,Annual,Net Banking,4752.66,13,3,37.5,82.2,2025-02-17,13
CUST00200,Male,21,Pune,Basic,2025-04-02,Quarterly,Debit Card,1945.15,15,1,61.2,84.4,2025-12-26,17
CUST00201,Male,35,Kolkata,Basic,2021-11-02,Quarterly,UPI,1968.43,20,0,14.5,12.5,2025-10-16,58
CUST00202,Male,21,Pune,Basic,2022-06-26,Monthly,UPI,881.72,7,5,66.3,11.4,2025-04-12,50
CUST00203,Male,27,Hyderabad,Premium,2024-03-16,Monthly,Debit Card,3226.82,11,3,78.7,98.1,2025-12-27,29
CUST00204,Female,39,Hyderabad,Basic,2021-03-01,Monthly,Auto Pay,811.31,12,1,23.5,18.4,2025-11-29,66
CUST00205,Female,54,Chennai,Standard,2025-07-14,Monthly,Net Banking,3204.52,14,3,88.7,66.6,2025-02-27,13
CUST00206,Female,46,Pune,Basic,2022-07-17,Annual,Net Banking,1386.54,12,3,84.8,81.0,2025-08-29,50
CUST00207,Female,29,Hyderabad,Basic,2023-05-13,Quarterly,Auto Pay,4018.54,11,4,76.8,96.6,2025-05-08,40
CUST00208,Male,25,Delhi,Basic,2024-07-19,Monthly,Debit Card,533.49,12,1,8.9,68.3,2026-05-04,25
CUST00209,Male,44,Mumbai,Basic,2021-10-03,Monthly,Net Banking,1194.24,13,2,83.6,47.8,2026-05-22,59
CUST00210,Female,22,Hyderabad,Basic,2021-03-25,Annual,Auto Pay,3386.34,15,1,85.7,98.3,2026-01-28,66
CUST00211,Male,39,Chennai,Standard,2023-07-30,Monthly,Debit Card,3813.19,11,5,72.6,19.8,2025-08-03,37
CUST00212,Male,29,Delhi,Basic,2023-07-14,Annual,Debit Card,2679.45,9,3,43.8,80.4,2025-10-07,38
CUST00213,Male,23,Chennai,Basic,2021-06-12,Monthly,Net Banking,1506.15,11,1,27.2,69.9,2026-04-02,63
CUST00214,Female,33,Pune,Standard,2021-10-19,Monthly,Net Banking,4616.75,14,4,74.0,30.1,2026-08-12,59
CUST00215,Female,25,Pune,Standard,2023-07-21,Quarterly,UPI,4135.54,14,1,38.8,20.9,2025-03-20,37
